idade;classe_trabalho;escolaridade;anos_estudo;estado_civil;raca;sexo;UF;região;qtde_filhos;salario
59;Funcionário Setor Privado;Superior Completo;9;Casado;Branco;Masculino;AM;Norte;5;11734
44;Funcionário Setor Privado;Superior Incompleto;9;Divorciado;Branco;Feminino;RR;Norte;4;3716
53;Funcionário Setor Privado;Pós-Graduado;9;Divorciado;Branco;Feminino;PA;Norte;4;6480
49;Empresário;Ensino Médio Incompleto;9;Casado;Branco;Masculino;AP;Norte;0;7371
33;Funcionário Setor Privado;Mestrado;14;Casado;Branco;Masculino;TO;Norte;0;10161
30;Funcionário Setor Privado;Ensino Fundamental Completo;5;Solteiro;Branco;Masculino;MA;Nordeste;2;1100
43;Funcionário Público;Doutorado;16;Solteiro;Branco;Feminino;PI;Nordeste;2;11124
57;Funcionário Setor Privado;Ensino Médio Completo;11;Casado;Branco;Masculino;CE;Nordeste;0;2297
37;Funcionário Setor Privado;Ensino Médio Completo;10;Divorciado;Branco;Feminino;RN;Nordeste;0;2899
28;Funcionário Setor Privado;Ensino Médio Completo;10;Divorciado;Negro;Feminino;PB;Nordeste;4;2901
30;Funcionário Setor Privado;Ensino Médio Incompleto;9;Casado;Pardo;Feminino;PE;Nordeste;5;1100
34;Empresário;Ensino Médio Completo;13;Casado;Branco;Masculino;AL;Nordeste;3;4426
29;Empresário;Ensino Médio Completo;10;Solteiro;Branco;Masculino;SE;Nordeste;4;3942
48;Autônomo;Doutorado;16;Casado;Branco;Masculino;BA;Nordeste;3;9784
37;Funcionário Setor Privado;Ensino Médio Completo;10;Casado;Branco;Masculino;MG;Sudeste;4;2107
48;Funcionário Setor Privado;Ensino Médio Completo;12;Divorciado;Branco;Feminino;ES;Sudeste;1;2742
32;Funcionário Público;Ensino Médio Incompleto;9;Solteiro;Negro;Masculino;RJ;Sudeste;5;1837
76;Aposentado;Mestrado;14;Casado;Branco;Masculino;SP;Sudeste;0;2024
44;Funcionário Setor Privado;Ensino Médio Completo;13;Casado;Branco;Masculino;PR;Sul;0;3154
47;Autônomo;Mestrado;14;Solteiro;Branco;Feminino;SC;Sul;3;7163
20;Funcionário Setor Privado;Ensino Médio Completo;10;Solteiro;Branco;Feminino;RS;Sul;0;3675
29;Funcionário Setor Privado;Ensino Médio Incompleto;9;Solteiro;Branco;Masculino;MS;Centro-Oeste;1;1100
32;MEI;Ensino Médio Incompleto;9;Casado;Branco;Masculino;MT;Centro-Oeste;4;6332
17;Menor Aprendiz;Ensino Fundamental Completo;6;Solteiro;Branco;Feminino;GO;Centro-Oeste;1;1100
30;Funcionário Setor Privado;Superior Completo;7;Solteiro;Branco;Masculino;DF;Centro-Oeste;0;7640
31;Empresário;Superior Incompleto;9;Solteiro;Branco;Feminino;RO;Norte;1;10089
42;Funcionário Setor Privado;Pós-Graduado;9;Casado;Branco;Masculino;AC;Norte;2;6646
24;Funcionário Setor Privado;Ensino Médio Completo;13;Solteiro;Branco;Masculino;AM;Norte;4;3967
38;Funcionário Setor Privado;Mestrado;15;Casado;Branco;Masculino;RR;Norte;4;6836
56;Autônomo;Ensino Médio Incompleto;9;Casado;Branco;Masculino;PA;Norte;4;1100
28;Funcionário Setor Privado;Ensino Médio Completo;10;Casado;Branco;Feminino;AP;Norte;3;3179
36;Funcionário Setor Privado;Ensino Médio Incompleto;9;Solteiro;Branco;Feminino;TO;Norte;3;1100
53;Funcionário Setor Privado;Ensino Fundamental Completo;5;Casado;Branco;Masculino;MA;Nordeste;5;1100
56;MEI;Ensino Médio Completo;10;Casado;Branco;Masculino;PI;Nordeste;0;5386
49;Empresário;Ensino Médio Completo;11;Casado;Negro;Masculino;CE;Nordeste;0;3043
55;Funcionário Setor Privado;Ensino Médio Completo;10;Casado;Branco;Masculino;RN;Nordeste;0;2373
22;Funcionário Setor Privado;Ensino Médio Incompleto;9;Solteiro;Branco;Masculino;PB;Nordeste;2;1100
21;Funcionário Setor Privado;Ensino Médio Completo;10;Solteiro;Branco;Feminino;PE;Nordeste;0;3958
40;Funcionário Setor Privado;Ensino Médio Completo;13;Casado;Branco;Masculino;AL;Nordeste;0;2678
30;Funcionário Setor Privado;Ensino Médio Completo;13;Solteiro;Negro;Masculino;SE;Nordeste;4;3971
29;Servidor Público;Ensino Médio Completo;13;Casado;Branco;Masculino;BA;Nordeste;3;5712
19;Funcionário Setor Privado;Ensino Médio Completo;10;Solteiro;Negro;Masculino;MG;Sudeste;1;3296
47;Funcionário Setor Privado;Ensino Médio Completo;13;Casado;Branco;Feminino;ES;Sudeste;3;3976
20;Funcionário Setor Privado;Ensino Médio Completo;10;Solteiro;Branco;Feminino;RJ;Sudeste;1;3020
31;Funcionário Setor Privado;Ensino Médio Completo;12;Casado;Branco;Masculino;SP;Sudeste;5;3781
35;;Ensino Médio Incompleto;9;Casado;Amarelo;Masculino;PR;Sul;4;1100
39;Funcionário Setor Privado;Ensino Médio Completo;10;Divorciado;Branco;Masculino;SC;Sul;3;2457
28;Funcionário Setor Privado;Ensino Médio Completo;12;Solteiro;Amarelo;Feminino;RS;Sul;1;2297
24;Funcionário Setor Privado;Ensino Médio Incompleto;9;Solteiro;Branco;Feminino;MS;Centro-Oeste;5;1100
38;Autônomo;Ensino Médio Incompleto;9;Casado;Branco;Masculino;MT;Centro-Oeste;0;1100
37;Funcionário Setor Privado;Ensino Médio Completo;13;Casado;Branco;Masculino;GO;Centro-Oeste;3;2816
46;Funcionário Setor Privado;Ensino Médio Completo;12;Divorciado;Negro;Feminino;DF;Centro-Oeste;0;3095
38;Funcionário Público;Mestrado;14;Casado;Branco;Masculino;RO;Norte;5;9952
43;Autônomo;Ensino Médio Incompleto;9;Casado;Branco;Masculino;AC;Norte;2;1100
27;Funcionário Setor Privado;Ensino Médio Completo;11;Casado;Amarelo;Feminino;AM;Norte;5;2485
20;Funcionário Setor Privado;Ensino Médio Completo;10;Solteiro;Branco;Masculino;RR;Norte;0;3892
49;Funcionário Setor Privado;Ensino Médio Completo;10;Casado;Pardo;Masculino;PA;Norte;1;2835
61;MEI;Ensino Médio Incompleto;9;Casado;Branco;Masculino;AP;Norte;1;4285
27;Funcionário Setor Privado;Ensino Médio Completo;10;Solteiro;Branco;Feminino;TO;Norte;2;3592
19;Funcionário Setor Privado;Ensino Médio Completo;10;Solteiro;Amarelo;Masculino;MA;Nordeste;1;2915
45;Funcionário Setor Privado;Ensino Médio Completo;11;Solteiro;Branco;Feminino;PI;Nordeste;1;3256
70;Aposentado;Ensino Médio Completo;10;Solteiro;Branco;Masculino;CE;Nordeste;4;2616
31;Funcionário Setor Privado;Ensino Médio Incompleto;9;Solteiro;Negro;Feminino;RN;Nordeste;4;1100
22;Funcionário Setor Privado;Ensino Médio Completo;10;Casado;Amarelo;Masculino;PB;Nordeste;3;3613
36;Funcionário Setor Privado;Ensino Médio Incompleto;9;Viúvo;Branco;Feminino;PE;Nordeste;5;1100
64;Funcionário Setor Privado;Ensino Médio Incompleto;7;Casado;Branco;Masculino;AL;Nordeste;4;1100
43;;Ensino Médio Completo;10;Divorciado;Branco;Feminino;SE;Nordeste;0;2490
47;Empresário;Ensino Médio Completo;10;Divorciado;Branco;Feminino;BA;Nordeste;2;10360
34;Funcionário Setor Privado;Ensino Médio Incompleto;9;Solteiro;Branco;Feminino;MG;Sudeste;1;1100
33;Funcionário Setor Privado;Ensino Médio Completo;13;Solteiro;Pardo;Feminino;ES;Sudeste;2;2926
21;Funcionário Setor Privado;Ensino Médio Incompleto;9;Solteiro;Branco;Masculino;RJ;Sudeste;3;1100
52;;Ensino Médio Incompleto;9;Divorciado;Branco;Masculino;SP;Sudeste;1;1100
48;Funcionário Setor Privado;Ensino Médio Incompleto;9;Casado;Branco;Masculino;PR;Sul;1;1100
23;Funcionário Setor Privado;Ensino Médio Completo;13;Solteiro;Amarelo;Masculino;SC;Sul;1;3272
71;Aposentado;Ensino Médio Completo;10;Separado;Negro;Masculino;RS;Sul;5;5075
29;Funcionário Setor Privado;Ensino Médio Incompleto;9;Divorciado;Branco;Masculino;MS;Centro-Oeste;1;1100
42;Funcionário Setor Privado;Ensino Médio Completo;13;Separado;Negro;Masculino;MT;Centro-Oeste;5;3511
68;Aposentado;Ensino Fundamental Incompleto;2;Divorciado;Branco;Feminino;GO;Centro-Oeste;0;2480
25;Funcionário Setor Privado;Ensino Médio Incompleto;9;Solteiro;Branco;Feminino;DF;Centro-Oeste;5;1100
44;MEI;Mestrado;14;Divorciado;Pardo;Feminino;RO;Norte;4;3829
28;Funcionário Setor Privado;Ensino Médio Incompleto;9;Solteiro;Pardo;Feminino;AC;Norte;1;1100
45;Autônomo;Mestrado;14;Casado;Branco;Masculino;AM;Norte;1;6871
36;Funcionário Setor Privado;Ensino Médio Completo;10;Divorciado;Branco;Feminino;RR;Norte;1;3183
39;Funcionário Público;Ensino Médio Completo;12;Solteiro;Branco;Masculino;PA;Norte;0;3630
46;Servidor Público;Mestrado;14;Viúvo;Amarelo;Masculino;AP;Norte;2;8107
18;Funcionário Setor Privado;Ensino Médio Incompleto;7;Solteiro;Amarelo;Masculino;TO;Norte;2;1100
66;Aposentado;Ensino Médio Completo;11;Viúvo;Branco;Feminino;MA;Nordeste;3;5889
27;Funcionário Setor Privado;Ensino Médio Incompleto;9;Solteiro;Branco;Masculino;PI;Nordeste;2;1100
28;Servidor Público;Ensino Médio Incompleto;9;Casado;Branco;Masculino;CE;Nordeste;0;1313
51;Funcionário Setor Privado;Ensino Médio Completo;10;Casado;Branco;Masculino;RN;Nordeste;5;3272
27;Funcionário Setor Privado;Ensino Médio Completo;13;Solteiro;Branco;Masculino;PB;Nordeste;1;2547
28;Servidor Público;Ensino Médio Completo;13;Casado;Branco;Masculino;PE;Nordeste;0;5059
27;Funcionário Setor Privado;Ensino Médio Incompleto;9;União Estável;Branco;Feminino;AL;Nordeste;3;1100
21;Funcionário Setor Privado;Ensino Médio Incompleto;9;Solteiro;Negro;Masculino;SE;Nordeste;4;1100
34;Funcionário Setor Privado;Ensino Médio Incompleto;9;Solteiro;Negro;Masculino;BA;Nordeste;5;1100
18;Funcionário Setor Privado;Ensino Médio Incompleto;9;Solteiro;Branco;Masculino;MG;Sudeste;1;1100
33;Funcionário Setor Privado;Ensino Médio Completo;13;Casado;Branco;Masculino;ES;Sudeste;3;3450
44;Empresário;Ensino Médio Completo;10;Casado;Negro;Masculino;RJ;Sudeste;0;2441
43;Funcionário Setor Privado;Ensino Médio Completo;10;Divorciado;Branco;Feminino;SP;Sudeste;5;3377
30;Funcionário Setor Privado;Ensino Médio Completo;10;Solteiro;Negro;Masculino;PR;Sul;2;3229
40;Funcionário Setor Privado;Ensino Fundamental Incompleto;4;Casado;Branco;Masculino;SC;Sul;3;1100
37;Funcionário Público;Ensino Médio Completo;10;Casado;Branco;Masculino;RS;Sul;3;3915
34;Funcionário Setor Privado;Ensino Médio Incompleto;9;Casado;Negro;Masculino;MS;Centro-Oeste;0;1100
41;Autônomo;Ensino Médio Completo;13;Divorciado;Branco;Feminino;MT;Centro-Oeste;3;3232
53;;Ensino Médio Completo;13;Divorciado;Branco;Feminino;GO;Centro-Oeste;1;3477
31;Funcionário Setor Privado;Mestrado;14;Casado;Branco;Feminino;DF;Centro-Oeste;3;10280
58;Servidor Público;Doutorado;16;Casado;Branco;Masculino;RO;Norte;0;13404
38;Funcionário Setor Privado;Ensino Médio Completo;10;Divorciado;Negro;Feminino;AC;Norte;4;2369
24;Funcionário Setor Privado;Ensino Médio Completo;10;Casado;Branco;Masculino;AM;Norte;4;2162
41;Empresário;Superior Completo;13;Casado;Negro;Masculino;RR;Norte;1;2626
47;Funcionário Setor Privado;Superior Incompleto;10;Casado;Amarelo;Masculino;PA;Norte;5;2414
41;Funcionário Público;Pós-Graduado;13;Casado;Amarelo;Masculino;AP;Norte;0;7564
23;Funcionário Setor Privado;Ensino Fundamental Incompleto;3;Casado;Branco;Masculino;TO;Norte;1;1100
36;Funcionário Setor Privado;Ensino Médio Completo;10;Divorciado;Branco;Masculino;MA;Nordeste;2;3466
40;Funcionário Público;Mestrado;14;Solteiro;Amarelo;Feminino;PI;Nordeste;4;7352
35;Funcionário Setor Privado;Mestrado;14;Casado;Branco;Masculino;CE;Nordeste;4;8748
24;Autônomo;Ensino Médio Incompleto;9;Solteiro;Branco;Masculino;RN;Nordeste;2;1100
26;Funcionário Setor Privado;Mestrado;14;Solteiro;Branco;Feminino;PB;Nordeste;5;9089
19;;Ensino Médio Incompleto;9;Solteiro;Amarelo;Masculino;PE;Nordeste;0;1100
51;Funcionário Setor Privado;Ensino Médio Completo;13;Casado;Branco;Masculino;AL;Nordeste;3;2699
42;Empresário;Ensino Médio Completo;10;Solteiro;Amarelo;Feminino;SE;Nordeste;5;3408
37;Servidor Público;Ensino Médio Incompleto;9;Divorciado;Branco;Feminino;BA;Nordeste;4;1832
18;Funcionário Setor Privado;Ensino Médio Incompleto;7;Solteiro;Amarelo;Feminino;MG;Sudeste;0;1100
36;Funcionário Setor Privado;Ensino Médio Completo;13;Casado;Negro;Masculino;ES;Sudeste;0;3633
35;Funcionário Setor Privado;Ensino Médio Incompleto;9;Divorciado;Branco;Masculino;RJ;Sudeste;5;1100
58;MEI;Ensino Médio Incompleto;9;Casado;Branco;Feminino;SP;Sudeste;4;4559
17;Menor Aprendiz;Ensino Médio Incompleto;7;Solteiro;Branco;Feminino;PR;Sul;2;1100
44;Empresário;Ensino Médio Incompleto;9;Casado;Negro;Masculino;SC;Sul;3;3177
37;Funcionário Setor Privado;Ensino Médio Incompleto;9;Casado;Branco;Masculino;RS;Sul;5;1100
35;Funcionário Setor Privado;Ensino Médio Completo;10;Solteiro;Indígena;Feminino;MS;Centro-Oeste;2;2833
60;Funcionário Setor Privado;Ensino Médio Incompleto;9;Casado;Pardo;Masculino;MT;Centro-Oeste;4;1100
54;MEI;Ensino Fundamental Incompleto;4;Casado;Branco;Masculino;GO;Centro-Oeste;5;4752
37;Funcionário Setor Privado;Ensino Médio Completo;13;Solteiro;Negro;Masculino;DF;Centro-Oeste;1;2144
50;Funcionário Setor Privado;Ensino Médio Completo;12;Divorciado;Branco;Feminino;RO;Norte;2;3416
38;Funcionário Setor Privado;Ensino Médio Completo;13;Casado;Branco;Masculino;AC;Norte;5;2974
45;Funcionário Setor Privado;Ensino Médio Completo;13;Casado;Amarelo;Masculino;AM;Norte;1;3355
25;Funcionário Setor Privado;Ensino Fundamental Completo;6;Solteiro;Branco;Masculino;RR;Norte;3;1100
31;Funcionário Setor Privado;Ensino Médio Completo;10;Casado;Amarelo;Masculino;PA;Norte;5;2202
64;;Ensino Fundamental Incompleto;2;Divorciado;Branco;Masculino;AP;Norte;0;1100
90;Aposentado;Ensino Médio Incompleto;9;Solteiro;Negro;Masculino;TO;Norte;3;1741
54;Funcionário Setor Privado;Ensino Médio Incompleto;9;Casado;Negro;Masculino;MA;Nordeste;5;1100
53;Empresário;Analfabeto;1;Solteiro;Branco;Feminino;PI;Nordeste;0;6333
18;Funcionário Setor Privado;Ensino Médio Incompleto;9;Solteiro;Branco;Feminino;CE;Nordeste;1;1100
60;;Ensino Fundamental Completo;6;Divorciado;Indígena;Feminino;RN;Nordeste;4;1100
66;Aposentado;Ensino Médio Incompleto;9;Casado;Branco;Masculino;PB;Nordeste;1;4678
75;Aposentado;Ensino Médio Completo;11;Viúvo;Branco;Feminino;PE;Nordeste;0;6209
65;Funcionário Setor Privado;Ensino Médio Incompleto;9;Divorciado;Branco;Feminino;AL;Nordeste;0;1100
35;Funcionário Setor Privado;Ensino Médio Incompleto;7;Separado;Negro;Masculino;SE;Nordeste;4;1100
41;Funcionário Setor Privado;Ensino Médio Incompleto;9;Divorciado;Negro;Feminino;BA;Nordeste;4;1100
25;Funcionário Setor Privado;Ensino Médio Completo;10;Solteiro;Branco;Masculino;MG;Sudeste;4;2486
33;Funcionário Setor Privado;Ensino Médio Completo;10;Divorciado;Amarelo;Feminino;ES;Sudeste;0;3565
28;Funcionário Setor Privado;Mestrado;15;Solteiro;Branco;Masculino;RJ;Sudeste;1;10671
59;Servidor Público;Ensino Médio Incompleto;9;Casado;Branco;Masculino;SP;Sudeste;1;1964
40;Servidor Público;Ensino Médio Completo;10;Solteiro;Branco;Feminino;PR;Sul;1;3951
41;Funcionário Setor Privado;Ensino Médio Completo;13;Casado;Branco;Masculino;SC;Sul;2;2324
38;Empresário;Mestrado;14;Casado;Branco;Masculino;RS;Sul;3;17679
23;Funcionário Setor Privado;Ensino Médio Incompleto;9;Solteiro;Branco;Masculino;MS;Centro-Oeste;2;1100
40;Funcionário Setor Privado;Ensino Médio Completo;13;Casado;Branco;Masculino;MT;Centro-Oeste;0;2862
41;Autônomo;Ensino Médio Incompleto;9;Casado;Branco;Feminino;GO;Centro-Oeste;1;1100
24;Servidor Público;Ensino Médio Completo;12;Casado;Branco;Masculino;DF;Centro-Oeste;4;5500
20;;Ensino Médio Completo;10;Solteiro;Branco;Masculino;RO;Norte;1;
38;Funcionário Setor Privado;Ensino Médio Completo;10;Divorciado;Branco;Masculino;AC;Norte;1;2264
56;Funcionário Setor Privado;Ensino Médio Incompleto;9;Casado;Branco;Masculino;AM;Norte;5;1100
58;Funcionário Setor Privado;Ensino Médio Incompleto;9;Casado;Branco;Masculino;RR;Norte;4;1100
32;Funcionário Setor Privado;Ensino Médio Incompleto;9;Solteiro;Branco;Feminino;PA;Norte;2;1100
40;Funcionário Setor Privado;Ensino Médio Completo;12;Casado;Branco;Masculino;AP;Norte;2;3047
45;Funcionário Setor Privado;Ensino Médio Incompleto;9;Casado;Branco;Masculino;TO;Norte;3;1100
41;Funcionário Setor Privado;Mestrado;15;Casado;Branco;Feminino;MA;Nordeste;0;8479
42;Funcionário Setor Privado;Ensino Médio Completo;13;Casado;Negro;Feminino;PI;Nordeste;3;2615
59;Empresário;Ensino Fundamental Completo;6;Viúvo;Negro;Feminino;CE;Nordeste;1;14102
19;Empresário;Ensino Médio Completo;10;Solteiro;Branco;Masculino;RN;Nordeste;0;8306
58;Funcionário Setor Privado;Ensino Médio Completo;10;Solteiro;Branco;Masculino;PB;Nordeste;0;2654
42;Autônomo;Ensino Médio Incompleto;9;Casado;Pardo;Masculino;PE;Nordeste;5;1100
20;Funcionário Setor Privado;Ensino Médio Incompleto;9;Solteiro;Branco;Feminino;AL;Nordeste;2;1100
32;Funcionário Setor Privado;Ensino Médio Incompleto;9;Separado;Branco;Feminino;SE;Nordeste;5;1100
45;Funcionário Setor Privado;Ensino Médio Completo;11;Viúvo;Branco;Feminino;BA;Nordeste;5;2944
50;Funcionário Setor Privado;Ensino Fundamental Incompleto;4;Divorciado;Branco;Masculino;MG;Sudeste;1;1100
36;Funcionário Setor Privado;Ensino Médio Completo;13;Divorciado;Branco;Feminino;ES;Sudeste;1;3408
45;Funcionário Setor Privado;Ensino Médio Incompleto;9;Casado;Branco;Masculino;RJ;Sudeste;2;1100
17;Menor Aprendiz;Ensino Médio Incompleto;7;Solteiro;Branco;Masculino;SP;Sudeste;2;1100
